user,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption
esowell,37,31,9,11.2,8890,8890,8890,8890,70
esowell,38,29,10,9.56,9310,9170,9170,9310,73.5
esowell,46,35,15,50.53,7070,7210,7070,7210,71
esowell,36,28,10,10.03,9310,9100,9170,9170,67.5
esowell,36,28,9,15.47,9450,9450,9450,9450,69
esowell,40,36,13,6.99,8330,8330,8330,8330,74
esowell,36,27,16,6.12,10010,10010,10010,10010,54.5
esowell,45,34,9,15.38,5530,5460,5670,5670,68.5
esowell,38,31,12,9.66,8120,8120,8050,8120,71.5
esowell,38,27,10,33.76,8890,8960,8890,8890,65
esowell,38,32,11,7.58,8120,8120,8050,8120,68.5
esowell,39,36,10,11.76,8120,8260,8260,8260,71.5
esowell,44,33,13,6.48,7840,7840,7910,7910,76.5
esowell,34,27,9,8.17,10290,10220,10290,10220,69.5
esowell,43,35,10,6.75,8330,8470,8470,8330,69
esowell,46,31,10,11.1,7490,7490,7420,7420,67.5
esowell,35,29,9,16.59,10850,10850,10850,10850,73.5
esowell,44,37,12,11.48,8120,8050,8050,8120,77.5
esowell,37,32,9,9.31,8960,8890,8890,8960,73.5
esowell,37,28,9,5.98,9870,10010,9870,10010,70.5
esowell,37,31,10,6.14,9170,9310,9310,9310,68.5
esowell,36,28,9,6.97,9450,9380,9380,9450,69.5
esowell,43,32,10,6.09,8540,8540,8540,8680,72
esowell,38,30,10,7.99,8470,8330,8330,8330,66
esowell,0,0,0,6.86,0,0,0,0,
esowell,44,35,11,14.78,8470,8540,8540,8540,79
esowell,38,29,10,4.91,8540,8470,8680,8330,71.5
esowell,39,30,15,12,9590,9450,9590,9450,68
esowell,37,33,14,58.51,9590,9590,9590,9450,73
esowell,35,27,9,15.71,9870,9800,9870,9870,70
esowell,36,26,11,19.79,10500,10500,10500,10500,69.5
esowell,36,27,13,26.2,12460,12460,12460,12460,73.5
esowell,39,31,13,25.82,8890,8890,8890,8750,69.5
esowell,50,40,9,25.4,5880,5880,5950,5880,74
esowell,37,26,10,7.14,9170,9170,9170,9100,70
esowell,39,29,10,5.78,8960,8960,8960,9170,69.5
jenjense,40,33,9,24.97,9380,9450,9450,9450,85.5
jenjense,43,33,9,5.22,8890,8890,8890,8960,92
jenjense,63,52,11,9.81,6160,6160,6160,6090,98
jenjense,47,36,12,11.82,8540,8470,8540,8540,89
jenjense,51,36,10,9.16,8890,8960,8960,8890,91
jenjense,45,36,10,16.2,7490,7490,7420,7490,86
jenjense,41,34,13,34.53,8750,8750,8890,8750,72
jenjense,40,36,13,6.99,8330,8330,8330,8330,74
jenjense,38,29,10,9.56,9310,9170,9170,9310,73.5
jenjense,44,37,12,11.48,8120,8050,8050,8120,77.5
jenjense,32,30,14,8.07,12040,12040,12040,12040,72.5
jenjense,39,36,10,11.76,8120,8260,8260,8260,71.5
jenjense,37,32,9,9.31,8960,8890,8890,8960,73.5
jenjense,47,36,17,22.92,8680,8750,8750,8680,91.5
jenjense,44,37,12,9.47,9170,9170,9170,9170,84.5
jenjense,62,49,9,16.64,5950,5880,5950,5950,82.5
jenjense,42,40,11,17.91,8120,8260,8120,8260,71
ipandey,74,51,11,49.89,8540,8540,8680,8540,163
ipandey,76,59,13,56.43,8750,8680,8750,8680,161
ipandey,57,48,0,36.63,-2147483648,-2147483648,-2147483648,-2147483648,157
ipandey,76,50,9,52.34,8890,8890,8890,8960,160.5
ipandey,86,52,15,49.86,10920,10850,10850,10850,164.5
ipandey,79,55,10,33.43,9310,9170,9170,9170,164.5
ipandey,79,58,11,47.97,9450,9450,9380,9450,164
